Flow,Category,Unit,Result
"1,4-Butanediol",Emission to air,kg,1.652E-11
1-Pentanol,Emission to air,kg,4.4475E-14
1-Pentene,Emission to air,kg,3.3609E-14
2-Aminopropanol,Emission to air,kg,4.6865E-15
2-Methyl-1-propanol,Emission to air,kg,8.2915E-14
2-Methyl-2-butene,Emission to air,kg,7.4549E-18
2-Nitrobenzoic acid,Emission to air,kg,8.1067E-15
2-Propanol,Emission to air,kg,3.0757E-07
Acenaphthene,Emission to air,kg,2.4734E-12
Acetaldehyde,Emission to air,kg,2.3629E-07
Acetic acid,Emission to air,kg,1.2979E-06
Acetone,Emission to air,kg,5.9334E-07
Acrolein,Emission to air,kg,2.5708E-11
Acrylic acid,Emission to air,kg,7.9581E-10
"Aldehydes, unspecified",Emission to air,kg,2.0865E-09
Aluminium,Emission to air,kg,1.6172E-06
Ammonia,Emission to air,kg,0.000024425
Ammonium carbonate,Emission to air,kg,4.5731E-10
Aniline,Emission to air,kg,2.2268E-13
Anthranilic acid,Emission to air,kg,5.9389E-15
Antimony,Emission to air,kg,5.7506E-10
Arsenic,Emission to air,kg,1.2904E-08
Arsine,Emission to air,kg,9.2762E-15
Barium,Emission to air,kg,1.9073E-08
Benzaldehyde,Emission to air,kg,1.3413E-11
Benzene,Emission to air,kg,6.6788E-07
"Benzene, dichloro",Emission to air,kg,2.0752E-13
"Benzene, ethyl-",Emission to air,kg,6.2469E-08
"Benzene, hexachloro-",Emission to air,kg,3.9362E-12
"Benzene, pentachloro-",Emission to air,kg,9.8768E-12
Benzo(a)pyrene,Emission to air,kg,1.4186E-10
Beryllium,Emission to air,kg,2.3851E-10
Boron,Emission to air,kg,7.3405E-08
Boron trifluoride,Emission to air,kg,1.2695E-16
Bromine,Emission to air,kg,1.7454E-08
Butadiene,Emission to air,kg,2.8663E-14
Butane,Emission to air,kg,5.3881E-06
Butanol,Emission to air,kg,5.8648E-14
Butene,Emission to air,kg,5.551E-08
Butyrolactone,Emission to air,kg,4.7717E-12
Cadmium,Emission to air,kg,6.3704E-09
Calcium,Emission to air,kg,1.6061E-06
"Carbon dioxide, biogenic",Emission to air,kg,0.028277
"Carbon dioxide, fossil",Emission to air,kg,0.32875
Carbon disulfide,Emission to air,kg,4.3102E-12
"Carbon monoxide, biogenic",Emission to air,kg,3.3035E-06
"Carbon monoxide, fossil",Emission to air,kg,0.000069485
Chloramine,Emission to air,kg,1.6548E-13
Chlorine,Emission to air,kg,0.000015078
Chloroacetic acid,Emission to air,kg,8.5812E-12
Chloroform,Emission to air,kg,9.5295E-10
"Chlorosilane, trimethyl-",Emission to air,kg,1.0692E-10
Chlorosulfonic acid,Emission to air,kg,5.2784E-14
Chromium,Emission to air,kg,1.918E-08
Chromium VI,Emission to air,kg,7.0901E-10
Cobalt,Emission to air,kg,4.3945E-08
Copper,Emission to air,kg,2.5692E-07
Cumene,Emission to air,kg,3.5526E-08
Cyanide,Emission to air,kg,1.7035E-08
Cyanoacetic acid,Emission to air,kg,4.3228E-14
Diethylamine,Emission to air,kg,1.0138E-13
Dimethyl malonate,Emission to air,kg,5.4208E-14
Dinitrogen monoxide,Emission to air,kg,9.6966E-06
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",Emission to air,kg,5.0921E-14
Dipropylamine,Emission to air,kg,6.2005E-14
Ethane,Emission to air,kg,5.0667E-06
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,kg,9.0314E-11
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",Emission to air,kg,3.7769E-11
"Ethane, 1,1-difluoro-, HFC-152a",Emission to air,kg,7.8668E-10
"Ethane, 1,2-dichloro-",Emission to air,kg,2.1214E-08
"Ethane, hexafluoro-, HFC-116",Emission to air,kg,2.6223E-09
Ethanol,Emission to air,kg,4.4715E-07
Ethene,Emission to air,kg,5.8394E-07
"Ethene, chloro-",Emission to air,kg,1.3901E-08
"Ethene, tetrachloro-",Emission to air,kg,7.7973E-13
Ethyl acetate,Emission to air,kg,1.4291E-06
Ethyl cellulose,Emission to air,kg,2.8891E-09
Ethylamine,Emission to air,kg,8.7882E-14
Ethylene diamine,Emission to air,kg,1.1122E-12
Ethylene oxide,Emission to air,kg,1.2034E-09
Ethyne,Emission to air,kg,7.5275E-08
Fluorine,Emission to air,kg,1.1758E-08
Fluosilicic acid,Emission to air,kg,2.0275E-08
Formaldehyde,Emission to air,kg,1.0554E-06
Formamide,Emission to air,kg,8.1341E-14
Formic acid,Emission to air,kg,1.7878E-09
"Heat, waste",Emission to air,MJ,10.591
Heptane,Emission to air,kg,5.4935E-07
Hexane,Emission to air,kg,3.6521E-06
